NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.15%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:48.822
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.01%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.15%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:49.839
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.15%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:49.866
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.19%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:50.925
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.16%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:51.944
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.15%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:52.987
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.1kB / 625B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.1MiB / 15.55GiB,15.6kB / 6.76kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.36%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 311kB,27
21:19:54.030
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.1kB / 625B,0B / 16.4kB,4
pcf,0.03%,8.367MiB / 15.55GiB,42.9kB / 6.13kB,0B / 16.4kB,4
bsf,0.03%,7.512MiB / 15.55GiB,9.31kB / 2.83kB,0B / 16.4kB,4
nssf,0.02%,7.457MiB / 15.55GiB,9.52kB / 3.18kB,0B / 12.3kB,4
udr,0.03%,8.078MiB / 15.55GiB,40kB / 3.92kB,0B / 16.4kB,4
smf,0.07%,30.14MiB / 15.55GiB,15.8kB / 7.14kB,0B / 147kB,41
udm,0.03%,7.605MiB / 15.55GiB,12.1kB / 5.28kB,0B / 12.3kB,4
ausf,0.03%,7.602MiB / 15.55GiB,13kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.13%,8.953MiB / 15.55GiB,44kB / 34.8kB,0B / 8.19kB,4
mongo,0.26%,140.8MiB / 15.55GiB,10.5kB / 61.4kB,8.19kB / 311kB,27
21:19:55.079
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.04%,8.746MiB / 15.55GiB,14.3kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.18kB / 625B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.39kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.6kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.1kB / 3.92kB,0B / 16.4kB,4
smf,0.01%,30.14MiB / 15.55GiB,15.8kB / 7.19kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.2kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.1kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.02%,8.961MiB / 15.55GiB,44.4kB / 35kB,0B / 8.19kB,4
mongo,0.16%,140.8MiB / 15.55GiB,10.5kB / 61.4kB,8.19kB / 311kB,27
21:19:56.107
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.4kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.22kB / 625B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.1kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.43kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.64kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.1kB / 3.92kB,0B / 16.4kB,4
smf,0.01%,30.14MiB / 15.55GiB,15.8kB / 7.23kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.3kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.1kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.5kB / 35kB,0B / 8.19kB,4
mongo,0.29%,140.8MiB / 15.55GiB,10.6kB / 61.4kB,8.19kB / 311kB,27
21:19:57.141
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.4kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.29MiB / 15.55GiB,8.27kB / 625B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.1kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.47kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.68kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.2kB / 3.92kB,0B / 16.4kB,4
smf,0.03%,30.14MiB / 15.55GiB,15.8kB / 7.27kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.3kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.2kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.5kB / 35kB,0B / 8.19kB,4
mongo,0.17%,140.8MiB / 15.55GiB,10.6kB / 61.4kB,8.19kB / 311kB,27
21:19:58.169
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.5kB / 6.52kB,0B / 20.5kB,4
upf,0.02%,22.3MiB / 15.55GiB,8.42kB / 741B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.1kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.52kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.73kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.2kB / 3.92kB,0B / 16.4kB,4
smf,0.02%,30.16MiB / 15.55GiB,15.9kB / 7.43kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.3kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.2kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.5kB / 35kB,0B / 8.19kB,4
mongo,0.19%,140.8MiB / 15.55GiB,10.6kB / 61.4kB,8.19kB / 311kB,27
21:19:59.194
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.5kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.46kB / 741B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.2kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.56kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.77kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.3kB / 3.92kB,0B / 16.4kB,4
smf,0.01%,30.16MiB / 15.55GiB,15.9kB / 7.47kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.4kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.2kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.6kB / 35kB,0B / 8.19kB,4
mongo,0.17%,140.8MiB / 15.55GiB,10.7kB / 61.4kB,8.19kB / 311kB,27
21:20:00.262
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.5kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.51kB / 741B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.2kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.6kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.81kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.3kB / 3.92kB,0B / 16.4kB,4
smf,0.01%,30.15MiB / 15.55GiB,15.9kB / 7.51kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.4kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.3kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.6kB / 35kB,0B / 8.19kB,4
mongo,0.16%,140.8MiB / 15.55GiB,10.7kB / 61.4kB,8.19kB / 311kB,27
21:20:01.305
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.6kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.55kB / 741B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.3kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.64kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.85kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.4kB / 3.92kB,0B / 16.4kB,4
smf,0.01%,30.15MiB / 15.55GiB,15.9kB / 7.55kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.5kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.3kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.7kB / 35kB,0B / 8.19kB,4
mongo,0.20%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 311kB,27
21:20:02.340
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.6kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.59kB / 741B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.3kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.68kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.89kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.4kB / 3.92kB,0B / 16.4kB,4
smf,0.02%,30.15MiB / 15.55GiB,15.9kB / 7.6kB,0B / 147kB,41
udm,0.00%,7.605MiB / 15.55GiB,12.5kB / 5.28kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.4kB / 4.44kB,4.1kB / 12.3kB,4
nrf,0.00%,8.961MiB / 15.55GiB,44.7kB / 35kB,0B / 8.19kB,4
mongo,0.28%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 311kB,27
21:20:03.384
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.6kB / 6.52kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,43.3kB / 6.13kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.68kB / 2.83kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.89kB / 3.18kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.4kB / 3.92kB,0B / 16.4kB,4
smf,0.05%,30.16MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,41
udm,0.03%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.03%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.07%,8.98MiB / 15.55GiB,45.7kB / 35.5kB,0B / 8.19kB,4
mongo,0.35%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:04.425
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.04%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.03%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.03%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.03%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.03%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.03%,30.12MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.11%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.17%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:05.466
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.19%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:06.484
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.19%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:07.518
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.30%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:08.568
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.63kB / 783B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.1kB / 7.98kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.16%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:09.638
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.02%,22.3MiB / 15.55GiB,8.75kB / 899B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.03%,30.12MiB / 15.55GiB,16.2kB / 8.1kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.20%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:10.667
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.75kB / 899B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.2kB / 8.1kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12.7kB / 5.63kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,13.5kB / 4.79kB,4.1kB / 12.3kB,4
nrf,0.00%,9.016MiB / 15.55GiB,47.5kB / 36.3kB,0B / 8.19kB,4
mongo,0.18%,140.8MiB / 15.55GiB,10.8kB / 61.4kB,8.19kB / 332kB,27
21:20:11.709
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.754MiB / 15.55GiB,14.8kB / 6.86kB,0B / 20.5kB,4
upf,0.00%,22.3MiB / 15.55GiB,8.75kB / 899B,0B / 16.4kB,4
pcf,0.00%,8.375MiB / 15.55GiB,43.5kB / 6.48kB,0B / 16.4kB,4
bsf,0.00%,7.512MiB / 15.55GiB,9.85kB / 3.18kB,0B / 16.4kB,4
nssf,0.00%,7.461MiB / 15.55GiB,10.1kB / 3.52kB,0B / 12.3kB,4
udr,0.00%,8.078MiB / 15.55GiB,40.6kB / 4.27kB,0B / 16.4kB,4
smf,0.01%,30.12MiB / 15.55GiB,16.2kB / 8.1kB,0B / 147kB,40
